Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2003,"268,328","206,194","247,124","184,990","242,271","180,137","65,160","62,134","57,364","54,379","49,170","5,209","4,770","14,212","7,190","4,036","7,022","1,079","5,943","17,198","15,619",564,"1,185","38,602","35,384","33,618","2,121","15,534","13,519","21,204","10,804","7,920","2,055","3,915",693,"1,420","1,356","5,516","1,761",910,"2,056","31,549","13,970","5,206","8,764","17,579","15,163","2,416","7,876","3,079","1,994","1,085",845,"17,642","10,568","3,827","26,057","22,599","10,812"
Feb. 2003,"259,051","198,030","238,199","177,178","233,478","172,457","64,466","61,021","56,368","53,150","47,673","5,477","4,653","13,265","6,713","3,824","6,552",970,"5,582","15,575","14,083",535,"1,110","35,581","32,440","30,796","2,046","14,773","12,801","20,852","11,662","7,941","2,091","3,937",669,"1,599","2,012","4,377","1,747",940,991,"32,246","14,357","5,393","8,964",17889,"15,345","2,544","7,653","2,916","1,719","1,197",741,"16,473","9,654","3,496","25,573","22,103","10,597"
Mar. 2003,"293,693","221,829","269,821","197,957","264,532","192,668","71,997","71,864","66,594","61,877","56,000","5,877","5,270","14,511","7,618","4,283","6,893","1,096","5,797","20,174","17,619",640,"1,338","38,721","35,265","33,438","2,273","15,849","13,616","23,872","13,452","9,949","2,619","5,058",760,"1,910","1,474","4,964","2,121","1,111",925,"36,251","16,371","6,290","10,081",19880,"17,000","2,880","7,761","2,819","1,683","1,136",793,"17,113","10,403","2,993","29,161","25,193","12,249"
Apr. 2003,"294,251","221,855","271,422","199,026","265,990","193,594","71,294","72,396","66,968","61,336","55,764","5,572","5,428","13,728","7,374","3,989","6,354","1,067","5,287","24,295","19,876",716,"1,492","38,478","34,854","33,102","2,333","15,736","13,545","22,829","13,691","9,992","2,724","5,076",691,"1,972","1,612","4,995","2,135","1,139",975,"36,040","16,375","6,388","9,987","19,665","16,627","3,038","7,944","2,840","1,586","1,254",739,"15,858","10,415","2,045","28,261","24,445","12,026"
May 2003,"312,389","235,659","289,096","212,366","281,482","204,752","76,942","76,730","71,174","65,092","59,506","5,586","5,556","15,036","8,078","4,375","6,958","1,165","5,793","25,849","20,984",769,"1,747","41,032","37,057","35,203","2,576","16,170","13,959","23,293","14,730","10,522","2,813","5,435",751,"1,997","2,066","5,231","2,182","1,088","1,107","38,849","17,570","6,962","10,608","21,279","18,067","3,212","8,963","3,096","1,596","1,500",746,"15,599","10,322","1,639","30,907","26,711","12,967"
Jun. 2003,"300,998","226,376","278,197","203,575","271,242","196,620","73,813","74,622","69,078","63,414","58,090","5,324","5,544","14,829","7,753","4,138","7,076","1,216","5,860","25,064","20,946",792,"1,670","38,969","35,212","33,364","2,433","15,504","13,262","22,801","13,496","9,853","2,536","5,157",733,"1,812","1,707","5,323","2,325","1,064","1,181","37,301","16,639","6,432","10,207","20,662","17,608","3,054","8,278","2,864","1,470","1,394",674,"15,055","10,185","1,473","29,756","25,877","12,614"
Jul. 2003,"309,923","231,445","285,929","207,451","279,323","200,845","74,664","78,478","72,642","66,899","61,433","5,466","5,836","15,295","8,074","4,285","7,221","1,285","5,936","24,447","21,465",845,"1,622","41,076","37,108","35,141","2,611","16,004","13,659","23,994","13,854","10,140","2,450","5,491",730,"1,912","1,674","5,291","2,293","1,094","1,128","37,214","16,385","6,142","10,243","20,829","17,747","3,082","8,381","3,010","1,621","1,389",739,"15,289","10,511","1,571","30,600","26,690","12,996"
Aug. 2003,"317,056","239,394","292,091","214,429","285,212","207,550","82,179","77,662","71,996","66,850","61,356","5,494","5,666","16,235","8,384","4,530","7,851","1,273","6,578","22,659","20,425",798,"1,544","40,670","36,644","34,704","2,660","16,002","13,607","24,965","15,522","11,175","2,597","5,979",819,"2,449","1,758","6,714","2,548","1,087","2,139","40,211","18,182","7,058","11,124","22,029","18,906","3,123","8,778","3,497","2,034","1,463",747,"15,794","10,641","1,683","31,844","27,552","13,190"
Sep. 2003,"293,890","223,768","270,490","200,368","265,331","195,209","72,786","70,122","64,633","60,369","55,297","5,072","5,489","15,230","8,017","4,259","7,213","1,218","5,995","22,817","20,775",782,"1,492","38,396","34,697","32,872","2,461","15,718","13,591","23,400","13,567","10,042","2,627","5,218",690,"1,777","1,626","5,627","2,075","1,095","1,572","35,284","15,669","6,287","9,382","19,615","16,729","2,886","8,244","3,078","1,855","1,223",758,"16,926","11,253","1,818","28,559","24,320","11,816"
Oct. 2003,"304,036","235,903","280,391","212,258","273,781","205,648","77,420","68,133","62,411","58,079","53,065","5,014","5,722","15,728","8,351","4,410","7,377","1,265","6,112","23,976","21,669",822,"1,507","39,828","35,870","34,025","2,641","16,516","14,260","23,645","14,601","10,875","2,793","5,747",714,"1,839","1,756","5,216","1,970","1,286","1,045","38,677","17,319","6,744","10,575","21,358","18,135","3,223","8,738","3,198","1,697","1,501",813,"18,723","12,099","2,270","30,255","25,781","12,705"
