,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2016,"401,798","320,927","370,761","289,890","351,772","270,901","89,633","80,871","73,947","70,374","62,553","7,821","6,924","15,557","8,302","4,600","7,255","1,243","6,012","21,406","19,157",677,"1,749","56,919","51,806","49,842","3,488","25,471","21,637","31,037","15,775","11,650","2,435","6,059","1,263","2,161","1,771","6,402","3,104","1,195","1,402","49,638","10,166","3,129","7,037","39,472","34,524","4,948","8,340","2,261","1,216","1,045","1,179","40,356","33,185","3,572","50,026","44,092","21,208"
Feb. 2016,"415,005","324,822","386,029","295,846","363,527","273,344","94,684","90,183","82,877","78,298","67,782","10,516","7,306","15,988","8,511","4,819","7,477","1,346","6,131","22,536","20,035",755,"1,760","54,125","48,743","46,784","3,642","26,110","21,864","28,976","19,032","13,209","2,890","6,846","1,364","2,942","2,640","5,832","3,235","1,225",675,"51,591","11,054","3,708","7,346",40537,"35,109","5,428","8,670","2,241","1,105","1,136","1,213","40,484","33,412","3,352","51,478","45,165","21,761"
Mar. 2016,"460,864","359,688","427,290","326,114","404,996","303,820","104,202","101,176","92,997","86,364","76,176","10,188","8,179","16,971","9,408","5,197","7,563","1,409","6,154","29,099","24,802",930,"2,128","58,069","52,250","50,061","3,907","27,630","22,994","33,574","21,581","15,970","3,598","8,452","1,480","3,237","2,131","6,909","4,074","1,379",669,"56,361","12,563","4,285","8,278",43798,"37,811","5,987","9,723","2,380","1,137","1,243","1,314","43,903","37,093","2,575","55,868","49,146","24,267"
Apr. 2016,"451,105","353,394","415,839","318,128","394,743","297,032","98,667","97,711","90,036","83,096","73,782","9,314","7,675","15,468","8,739","4,717","6,729","1,333","5,396","31,492","26,168",943,"2,164","56,250","50,538","48,351","3,965","26,272","22,111","35,266","20,514","15,063","3,461","7,974","1,374","2,914","2,277","6,485","3,791","1,255",659,"53,820","11,653","4,082","7,571","42,167","36,549","5,618","9,797","2,380","1,065","1,315","1,324","41,668","35,558","1,980","56,362","48,965","24,128"
May 2016,"470,107","371,171","431,315","332,379","413,036","314,100","103,999","98,936","91,144","84,019","75,322","8,697","7,792","16,347","9,144","4,997","7,203","1,462","5,741","33,642","28,036",981,"2,273","59,229","53,050","50,695","4,242","26,780","22,535","38,792","21,774","15,786","3,545","8,463","1,338","2,952","2,768","6,681","3,939","1,248",728,"56,669","12,254","4,244","8,010","44,415","38,376","6,039","10,942","2,528","1,026","1,502","1,329","43,244","37,054","1,712","57,071","49,721","24,803"
Jun. 2016,"464,748","366,184","424,702","326,138","410,071","311,507","102,196","98,564","90,398","83,071","73,961","9,110","8,166","16,626","9,260","5,029","7,366","1,544","5,822","33,112","28,213","1,087","2,215","58,510","52,330","49,934","4,307","26,608","22,142","40,046","20,274","15,088","3,184","8,188","1,423","2,780","2,190","7,202","4,631","1,192",666,"55,694","12,316","4,105","8,211","43,378","37,427","5,951","10,459","2,400",950,"1,450","1,285","42,976","36,951","1,497","54,677","47,920","24,343"
Jul. 2016,"462,033","362,158","422,296","322,421","405,965","306,090","102,931","99,875","92,124","85,610","76,660","8,950","7,751","16,730","9,318","5,028","7,412","1,499","5,913","29,108","25,915",998,"2,070","59,840","53,381","50,823","4,571","25,744","21,608","39,737","20,782","15,390","3,084","8,677","1,344","3,074","2,087","6,900","4,315","1,242",642,"55,993","11,871","3,872","7,999","44,122","38,308","5,814","10,064","2,526",991,"1,535","1,372","41,192","35,788","1,370","56,068","49,426","25,112"
Aug. 2016,"471,721","367,422","432,982","328,683","416,489","312,190","107,410","104,299","96,080","89,912","80,408","9,504","8,219","17,567","9,712","5,135","7,855","1,506","6,349","28,861","25,898","1,064","2,100","58,619","52,475","50,021","4,307","27,011","22,410","38,739","22,505","16,205","3,325","8,810","1,575","3,900","2,179","7,770","4,304","1,242","1,474","56,597","12,756","3,941","8,815","43,841","38,094","5,747","10,412","2,971","1,492","1,479","1,419","44,109","38,436","1,506","55,232","48,519","24,787"
Sep. 2016,"448,561","352,852","410,652","314,943","394,200","298,491","98,522","95,709","88,013","82,562","73,950","8,612","7,696","17,086","9,671","5,291","7,415","1,517","5,898","27,771","24,867",998,"1,943","57,442","51,407","49,109","4,260","26,228","21,640","37,909","19,928","14,879","3,106","8,064","1,406","2,793","2,039","6,721","3,590","1,318","1,025","52,162","11,426","3,919","7,507","40,736","35,079","5,657","10,191","2,625","1,208","1,417","1,396","43,053","37,178","1,666","54,361","46,267","23,467"
Oct. 2016,"453,195","360,183","414,235","321,223","397,394","304,382","101,889","93,012","85,215","80,500","71,515","8,985","7,797","16,235","9,178","4,902","7,057","1,395","5,662","27,450","24,498",944,"2,050","58,739","52,659","50,397","4,262","25,687","21,518","38,960","20,650","15,553","3,204","8,683","1,323","2,752","2,119","6,285","3,399","1,430",682,"55,833","11,945","3,932","8,013","43,888","37,975","5,913","10,581","2,886",997,"1,889","1,512","43,962","37,679","2,130","55,801","47,866","24,104"
